time(s) velocity(m/s) pwm offset_pwm
1584111281.1182904243469238 0.5000002980232239 12113 7000
1584111281.2347097396850586 0.5000002980232239 12113 7000
1584111281.3349266052246094 0.5000002980232239 12113 7000
1584111281.4348478317260742 0.5199988484382629 12108 7000
1584111281.5183899402618408 0.4900000691413879 12105 7000
1584111281.6349861621856689 0.5000002980232239 12108 7000
1584111281.7348825931549072 0.4600012898445129 12118 7000
1584111281.8349239826202393 0.5000002980232239 12128 7000
1584111281.9350593090057373 0.5500014424324036 12115 7000
1584111282.0183949470520020 0.5100005269050598 12100 7000
1584111282.1179599761962891 0.5000002980232239 12098 7000
1584111282.2184820175170898 0.5200007557868958 12093 7000
1584111282.3181757926940918 0.5100005269050598 12085 7000
1584111282.4185347557067871 0.5100005269050598 12080 7000
1584111282.5186083316802979 0.5100005269050598 12075 7000
1584111282.6178755760192871 0.5200007557868958 12068 7000
1584111282.7183430194854736 0.5099986195564270 12060 7000
1584111282.8349659442901611 0.5100005269050598 12055 7000
1584111282.9184732437133789 0.4400008320808411 12068 7000
1584111283.0184030532836914 0.5399993062019348 12073 7000
1584111283.1182205677032471 0.4900000691413879 12065 7000
1584111283.2184762954711914 0.4799998402595520 12073 7000
1584111283.3183810710906982 0.4799998402595520 12083 7000
1584111283.4350023269653320 0.4700015187263489 12095 7000
1584111283.5184841156005859 0.5000002980232239 12103 7000
1584111283.6183617115020752 0.4699996113777161 12110 7000
1584111283.7182333469390869 0.4900019764900208 12120 7000
1584111283.8182861804962158 0.4900000691413879 12125 7000
1584111283.9183595180511475 0.5599997639656067 12112 7000
1584111284.0185940265655518 0.4600012898445129 12108 7000
1584111284.1186494827270508 0.5200007557868958 12113 7000
1584111284.2186231613159180 0.5200007557868958 12103 7000
1584111284.3184475898742676 0.5100005269050598 12095 7000
1584111284.4183702468872070 0.5299990773200989 12085 7000
1584111284.5184447765350342 0.5000002980232239 12078 7000
1584111284.6186008453369141 0.5200007557868958 12073 7000
1584111284.7183051109313965 0.5000002980232239 12068 7000
1584111284.8182594776153564 0.5100005269050598 12065 7000
1584111284.9184453487396240 0.5000002980232239 12063 7000
1584111285.0351052284240723 0.5000002980232239 12063 7000
1584111285.1184644699096680 0.4600012898445129 12073 7000
1584111285.2184514999389648 0.4699996113777161 12090 7000
1584111285.3184666633605957 0.4699996113777161 12105 7000
1584111285.4184255599975586 0.4600012898445129 12123 7000
1584111285.5180974006652832 0.4699996113777161 12140 7000
1584111285.6185688972473145 0.4700015187263489 12155 7000
1584111285.7182571887969971 0.4799998402595520 12168 7000
1584111285.8184642791748047 0.4799998402595520 12178 7000
1584111285.9185707569122314 0.4900000691413879 12185 7000
1584111286.0185499191284180 0.5000002980232239 12188 7000
1584111286.1185629367828369 0.5199988484382629 12183 7000
1584111286.2180118560791016 0.5300009846687317 12170 7000
1584111286.3183522224426270 0.5300009846687317 12155 7000
1584111286.4184002876281738 0.5699999928474426 12130 7000
